,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIQUIDACION JULIO 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODO: 01.JULIO.2012 - 31.JULIO. 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,7/8/12,7/9/12,7/10/12,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00,148.88,146.52,144.92,144.78,144.92,159.59,144.57,141.66,152.81,155.94,149.41,149.35,149.87,151.71,148.46,157.66,156.72,163.49,151.03,151.87,152.06,151.86,162.32,162.16,163.72,164.88,163.49,155.21,155.00,171.23,170.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00,150.44,162.36,144.62,147.30,149.80,144.96,144.62,144.70,153.49,159.15,149.53,157.49,154.67,148.17,148.46,163.95,152.59,160.50,151.20,152.62,156.79,151.54,165.58,166.50,163.41,168.02,166.32,159.93,155.00,171.51,170.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00,150.44,156.79,144.44,152.92,152.37,145.05,145.22,144.62,157.15,160.24,157.19,160.31,157.71,148.62,148.46,159.61,159.67,159.61,151.40,152.59,159.32,152.21,163.34,164.72,163.44,164.04,165.59,163.98,155.00,170.01,168.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00,150.44,155.92,144.63,144.73,147.61,144.52,145.34,144.19,149.95,152.11,156.48,155.87,157.77,148.46,148.46,159.58,162.87,160.99,151.40,160.63,152.14,152.28,163.31,163.43,163.76,163.86,165.82,159.27,155.00,165.67,169.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00,150.44,156.96,144.62,151.90,145.94,144.62,144.82,142.66,150.31,156.20,156.66,155.47,157.50,148.71,148.46,163.39,159.74,159.34,151.40,159.66,151.71,152.25,164.22,168.71,164.13,164.42,164.42,155.40,155.00,160.13,169.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00,150.44,156.52,144.65,153.07,148.48,144.65,144.83,143.77,150.00,157.70,156.64,162.88,156.76,148.75,147.45,160.32,161.79,159.22,151.40,160.25,154.87,152.22,164.42,166.93,164.67,164.46,163.98,155.00,154.72,160.29,169.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00,149.11,148.55,144.75,156.08,146.31,144.71,144.84,143.85,149.56,152.77,157.76,156.04,158.83,148.76,151.43,161.81,161.31,157.68,151.25,158.92,151.45,153.93,164.58,165.75,164.16,164.63,165.49,155.00,154.72,160.79,169.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00,148.39,149.23,144.62,144.64,144.96,144.65,144.79,142.80,149.65,149.07,150.96,151.48,149.20,148.46,146.55,162.11,160.07,151.40,151.11,158.49,151.43,155.05,166.60,167.38,165.63,166.72,165.23,155.00,154.72,160.30,169.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00,153.44,144.62,143.78,144.30,144.62,144.37,143.48,141.66,149.43,148.49,148.46,148.46,148.17,148.80,146.55,155.79,160.19,151.40,150.79,152.91,151.84,154.10,162.31,156.34,160.76,161.96,155.09,155.00,154.96,159.31,167.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:00,155.20,151.17,144.65,149.25,156.37,145.22,147.04,150.58,159.00,153.75,158.35,154.03,153.12,156.10,155.43,161.16,157.10,161.41,158.98,161.71,162.18,161.07,165.19,167.64,164.85,165.72,161.36,162.76,162.69,171.17,172.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00,150.64,149.45,144.62,154.43,150.64,145.49,144.91,149.30,155.93,156.91,160.57,155.71,157.47,158.24,149.47,159.60,160.03,159.14,159.45,159.39,158.62,158.88,165.02,163.54,164.53,165.95,162.43,162.61,162.42,169.30,168.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21:00,150.52,144.60,144.62,144.60,144.93,145.38,148.57,146.52,155.60,149.26,149.65,154.66,155.75,160.70,149.72,163.52,157.79,154.89,154.83,161.72,158.58,160.83,165.97,167.95,165.45,164.21,164.79,160.50,162.69,168.45,171.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22:00,154.42,144.96,148.00,144.20,144.54,144.31,146.96,142.01,154.32,148.51,148.48,148.29,149.65,151.96,150.57,168.28,151.14,151.40,151.94,155.02,155.33,157.73,161.30,164.86,155.60,157.91,158.08,155.78,155.47,163.15,168.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23:00,151.02,149.12,142.81,145.47,145.54,160.56,142.48,142.29,147.07,147.88,147.32,147.23,148.09,149.45,151.83,151.26,151.13,151.40,151.40,151.40,151.40,153.59,155.26,155.65,154.93,155.39,158.15,155.00,157.08,159.42,160.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:00,148.60,142.11,145.68,141.06,141.66,146.55,141.58,141.66,147.74,150.61,147.61,149.76,153.31,153.26,147.77,151.26,150.73,149.88,151.40,153.85,153.27,151.35,155.12,160.53,156.74,154.90,155.01,155.00,154.86,161.63,158.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIO DE POTENCIA DE OCASION ( US$ / MW ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,8-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIO,0.00,0.50,210.00,0.50,0.50,0.50,0.50,0.00,0.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,200.00,0.50,215.00,215.00,215.00,215.00,215.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS MAXIMOS MINIMOS ENERGIA Y POTENCIA DE OCASION ( US$ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIO,MAX,MIN,PROM,PROM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIA,172.32,136.01,66.42,152.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTENCIA,215.00,0.00,48.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
